time_hours,B_magnitude,He,Bz,E1,E2,MPS_LO
5.6417,88.9044,-25.509,81.8471,11198.1,6597.77,675944
5.6583,88.9773,-25.5471,81.8882,11237.5,6586.37,667505
5.6750,89.5287,-25.6804,82.3803,11279,6638.12,659684
5.6917,89.4676,-25.6442,82.3167,11315.2,6657.32,645118
5.7083,89.4656,-25.6808,82.2965,11416.4,6685.65,655735
5.7250,89.4362,-25.788,82.2071,11381.1,6710.5,646703
5.7417,89.4333,-25.8299,82.1687,11434.4,6681.04,644651
5.7583,89.0298,-25.774,81.7564,11459.4,6636.79,644732
5.7750,88.7968,-25.7574,81.5058,11518.3,6662.42,642985
5.7917,88.6264,-25.7248,81.3253,11511.8,6646.27,617493
5.8083,88.6011,-25.7531,81.276,11608.5,6615.67,657162
5.8250,88.6449,-25.8447,81.2674,11646.6,6599.81,621582
5.8417,88.6254,-25.9054,81.1993,11696.5,6599.55,620009
5.8583,88.5325,-25.9161,81.0834,11787.4,6565.74,656283
5.8750,88.3659,-25.9219,80.8931,11795.8,6525.98,646994
5.8917,88.497,-25.9971,80.9826,11894.7,6515.25,678938
5.9083,88.661,-26.0022,81.1313,11983.2,6539.6,645342
5.9250,88.533,-26.06,80.9515,12034.1,6528.41,629923
5.9417,88.7365,-26.1993,81.0888,12104.7,6483.63,641238
5.9583,88.8488,-26.1815,81.1945,12194.3,6507.73,630286
5.9750,88.9202,-26.1673,81.2574,12278.5,6451.74,691035
5.9917,88.9193,-26.1679,81.2359,12320.3,6429.26,659586
6.0083,88.8155,-26.1701,81.1122,12393.5,6387.52,650679
6.0250,88.6931,-26.1095,80.9965,12469.9,6351.47,641629
6.0417,88.5662,-26.1254,80.8424,12410.6,6335.31,669962
6.0583,88.643,-26.2256,80.8621,12551.6,6311.39,651672
6.0750,88.6838,-26.2874,80.861,12612.4,6277.14,631333
6.0917,88.6148,-26.1893,80.8189,12641,6259.52,621558
6.1083,88.7365,-26.1764,80.9232,12759.4,6242.59,637760
6.1250,89.0014,-26.2465,81.1414,12829.8,6202.47,616968
6.1417,88.863,-26.2432,80.9808,12892.6,6180.52,672089
6.1583,88.9606,-26.2684,81.055,13019.6,6136.36,633793
