time (hours),Bz,B magnitude,Solar Wind Speed (km/s),proton density
3.500000,-2.556562,2.837625,456.790630,2.734866
3.516667,-2.244813,2.541875,453.800003,2.909475
3.533333,-1.975500,2.332250,451.401873,2.964650
3.550000,0.689875,2.331438,451.111253,2.708669
3.566667,-0.091875,2.326438,451.481558,2.774856
3.583333,-0.236000,2.665625,450.270305,2.838791
3.600000,-0.440875,2.712188,450.664854,2.851822
3.616667,-0.572687,2.590563,448.953905,2.647353
3.633333,-0.294313,2.460187,447.359988,2.458247
3.650000,-0.096375,2.492750,449.160001,2.714653
3.666667,0.238750,2.399063,449.963133,2.630763
3.683333,0.407625,2.268813,450.782513,2.701862
3.700000,0.489188,2.229313,449.959067,2.572737
3.716667,1.191563,2.197062,452.658443,2.573944
3.733333,0.838750,2.069063,453.347507,2.611922
3.750000,0.654312,2.059250,453.212820,2.636006
3.766667,0.116000,2.012063,453.417503,2.634659
3.783333,-0.022250,1.877375,454.064381,2.638878
3.800000,0.006313,1.857125,456.193451,2.627456
3.816667,-0.453437,1.994062,458.911573,2.705287
3.833333,0.238438,1.837187,459.751567,2.850741
3.850000,0.463500,1.653063,458.990315,2.651225
3.866667,0.468000,2.375813,457.566885,2.637725
3.883333,-0.091500,1.793438,459.562806,2.649491
3.900000,0.363625,2.273000,458.130326,2.648159
3.916667,-0.284625,1.217063,457.839675,2.523941
3.933333,-0.196125,0.944625,461.165008,2.774819
3.950000,0.081438,2.047312,459.113763,2.738678
3.966667,0.038937,0.987125,459.677809,2.780694
3.983333,-0.338000,1.742188,458.644689,2.643325
4.000000,-0.320562,2.019937,459.186558,2.522800
4.016667,-0.071750,1.958000,459.710310,2.597775
4.033333,-0.358250,1.959312,458.765633,2.777628
4.050000,-0.476688,2.226562,457.776563,2.881737
4.066667,-0.476125,2.257062,458.697174,2.667531
4.083333,-0.609375,2.513500,458.542493,2.429403
4.100000,-0.118750,2.314375,455.546249,2.598275
4.116667,-0.025937,2.097188,456.194362,2.608291
4.133333,0.081688,2.209938,454.886555,2.706629
4.150000,-0.162937,2.184125,456.015778,2.774004
4.166667,-0.545625,2.647000,457.773590,2.841379
4.183333,-0.758437,2.862625,459.531403,2.908754
4.200000,-0.593063,3.342187,457.587192,2.665587
4.216667,-0.840063,3.184313,455.751574,2.609234
4.233333,-0.214000,2.859875,455.840637,2.668422
4.250000,0.247750,3.188500,456.129700,2.797503
4.266667,-0.669437,3.376813,455.734060,2.874500
4.283333,-0.281688,3.455375,454.361869,2.783087
4.300000,0.153875,3.297500,453.467803,2.807844
4.316667,0.058750,3.314563,452.549057,2.946828
4.333333,0.730813,3.291188,452.076882,2.857003
4.350000,1.295750,3.168250,452.499694,2.691334
4.366667,1.407187,3.211000,451.446875,2.752338
4.383333,1.481875,3.183812,450.514379,2.678350
4.400000,1.692812,3.192187,452.769060,2.717834
4.416667,1.244938,3.167437,452.414680,2.613903
4.433333,0.977063,3.242500,449.617810,2.737819
4.450000,0.929813,3.330062,451.352191,2.510381
4.466667,1.099938,3.276562,453.603113,2.669822
4.483333,0.326000,3.336938,453.332177,2.717644
4.500000,0.643500,3.297125,452.825929,2.796972
4.516667,0.709750,3.293875,453.651552,2.651353
4.533333,0.327625,3.403188,454.525314,2.696878
4.550000,0.586500,3.399312,452.527822,2.698097
4.566667,0.948500,3.408375,451.155316,2.648356
4.583333,1.496125,3.311000,451.150624,2.547809
4.600000,2.230187,3.415375,451.615937,2.557291
4.616667,0.775187,3.223375,452.205935,2.686844
4.633333,0.523500,3.140813,451.690313,2.647075
4.650000,0.913625,3.190375,452.189694,2.652347
4.666667,0.867125,3.214937,453.903757,2.420550
4.683333,2.234625,3.307062,460.908743,2.389069
4.700000,2.375750,3.263625,455.886870,2.412352
4.716667,2.436250,3.292625,456.393128,2.452915
4.733333,2.414312,3.289250,456.899386,2.493477
4.750000,2.194938,3.317375,454.368139,2.534040
4.766667,2.163687,3.351313,454.139997,2.542675
4.783333,2.426813,3.331000,454.634051,2.506975
4.800000,1.929188,3.299562,455.213428,2.492898
4.816667,1.879750,3.341000,455.050002,2.493039
4.833333,1.911625,3.286000,455.852509,2.559028
4.850000,1.802750,3.267062,455.327511,2.558887
4.866667,2.411437,3.245188,453.133760,2.486341
4.883333,2.037250,3.353813,452.188443,2.471434
4.900000,2.048437,3.351750,452.518439,2.492556
4.916667,2.571250,3.322938,453.095617,2.576831
4.933333,2.498250,3.255188,449.406552,2.581269
4.950000,2.328813,3.326313,450.031880,2.530081
4.966667,1.700063,3.344938,452.071237,2.484381
4.983333,1.609313,3.347062,451.808738,2.597819
5.000000,2.206938,3.325500,452.914685,2.523209
5.016667,0.851000,3.251063,458.927803,2.386259
5.033333,0.534625,3.204250,459.832497,2.621697
5.050000,0.384375,3.212312,455.963438,2.693581
5.066667,-0.101125,3.200937,457.751251,2.631022
5.083333,-0.311875,3.136375,458.822816,2.754378
5.100000,1.981437,2.948000,454.756876,2.618212
5.116667,0.487688,3.275438,453.313118,2.556759
5.133333,-0.339562,3.147375,455.409683,2.712084
5.150000,-0.370812,3.038562,456.078751,2.685041
5.166667,-0.128250,3.084563,457.379054,2.653362
5.183333,0.179563,2.957125,458.079998,2.601341
5.200000,-0.290937,2.857500,457.256553,2.727372
5.216667,-0.723750,2.882313,455.525946,2.925672
5.233333,0.306750,2.971625,455.807180,2.857484
5.250000,0.805000,3.110813,459.622812,2.299016
5.266667,0.818563,3.101437,459.020475,2.301108
5.283333,1.159437,3.129313,458.265795,2.322530
5.300000,0.315875,2.970875,457.554077,2.412116
5.316667,0.191437,2.777187,457.763757,2.328100
5.333333,0.667188,3.101688,457.752510,2.380103
5.350000,0.521062,3.038500,456.262811,2.614275
5.366667,1.533187,3.163562,456.500618,2.495209
5.383333,0.810000,3.014125,458.047502,2.272319
5.400000,1.217875,3.055625,458.421255,2.259756
5.416667,1.274063,3.113187,457.537817,2.344647
5.433333,1.488375,3.201438,457.100939,2.455300
5.450000,1.797563,3.207625,458.748741,2.306975
5.466667,0.593875,3.153563,457.695622,2.400725
5.483333,0.333312,3.288813,457.292490,2.481659
5.500000,0.952937,3.303500,457.854675,2.448113
5.516667,1.557625,3.320937,459.495300,2.439487
5.533333,1.770875,3.261375,458.018423,2.494934
5.550000,1.875312,3.054312,466.280620,2.468806
5.566667,1.641500,3.117625,468.379061,2.692900
5.583333,0.868250,3.208312,467.099693,2.646828
5.600000,0.986813,3.135313,466.290630,2.586800
5.616667,1.346063,3.200375,454.777808,2.662075
5.633333,1.346438,3.120063,446.055001,2.713916
5.650000,1.400250,3.225250,450.639376,2.681666
5.666667,1.140500,3.202812,457.606863,2.559759
5.683333,0.836438,3.232687,458.066861,2.471766
5.700000,0.687562,3.218000,457.192175,2.560838
5.716667,0.954000,3.193687,457.616871,2.580303
5.733333,0.646375,3.153125,453.457506,2.660163
5.750000,0.477063,3.077563,451.509376,2.838709
5.766667,0.503687,3.096000,451.556256,2.581438
5.783333,0.187875,3.173563,450.243762,2.690563
5.800000,-0.548750,3.251000,453.725310,2.836753
5.816667,-0.255250,3.127250,454.153275,2.711269
5.833333,0.740312,3.112875,454.223585,2.555456
5.850000,0.652000,3.139437,453.377503,2.571138
5.866667,0.445375,2.918438,453.735632,2.700634
5.883333,0.518375,2.947437,453.019377,2.708638
5.900000,0.015812,3.029437,455.005314,2.581925
5.916667,-0.004063,3.055063,456.519382,2.563737
5.933333,0.213000,2.984688,455.514064,2.755272
5.950000,-0.456688,3.278500,454.320305,2.865225
5.966667,-0.565625,3.389312,453.295624,2.696016
5.983333,-0.896375,3.510000,456.624060,2.624019
6.000000,-0.721500,3.550813,457.274055,2.816003
6.016667,-0.907500,3.568812,458.325939,2.912631
6.033333,-0.290313,3.350187,452.060318,2.728344
6.050000,0.091750,3.417812,450.869675,2.381656
6.066667,0.324313,3.421938,446.661259,2.609713
6.083333,0.402937,3.470875,446.010628,2.815400
6.100000,0.371813,3.490062,449.071565,2.688275
6.116667,0.792625,3.360313,446.791874,2.497538
6.133333,0.768875,3.319875,446.334368,2.578509
6.150000,1.012500,3.384500,448.117495,2.718962
6.166667,1.763125,3.263187,447.195313,2.746980
