time, L, magnetic local time
1.445104399999999885e+02,1.995226228499999976e+00,5.706680691583333243e+00
1.455808274999999981e+02,2.006228480734572717e+00,1.903041404439973405e+01
1.460227561111111072e+02,3.002610507500000026e+00,2.078279899275000275e+01
1.465488486111111115e+02,4.003748409496300731e+00,2.191049997950495154e+01
1.471981936111111224e+02,5.004029309999999953e+00,2.282045018399999847e+01
1.481352691666666601e+02,6.001520862238169052e+00,2.377424599864049526e+01
1.511251186111111053e+02,5.998993085000000391e+00,2.155977350000000126e+00
1.520990608333333398e+02,4.999199163333333473e+00,3.128989816366666510e+00
1.527453547222222312e+02,3.999127386666666784e+00,4.102122826666667166e+00
1.532353391666666766e+02,2.996263038666666656e+00,5.358884997999999733e+00
1.536050866666666650e+02,1.993481049166666574e+00,7.193817392999999782e+00
1.545131555555555565e+02,2.005176877833333204e+00,1.903423603688333188e+01
1.549520819444444442e+02,3.002358030774483044e+00,2.107770943505239813e+01
1.555112447222222158e+02,4.004357214666666387e+00,2.226355384913333424e+01
1.562357475000000022e+02,5.002446372333333890e+00,2.312920538413333205e+01
1.573854263888889022e+02,6.001220812087344925e+00,7.363105370456428551e-03
1.596092288888888788e+02,5.998880300333333082e+00,1.347903778016666720e+00
1.607143869444444420e+02,4.996577826000000222e+00,2.190120291599999991e+00
1.614257863888888949e+02,3.996226836426671536e+00,2.995997490332876101e+00
1.619929077777777877e+02,2.999235037000000048e+00,4.049730167149999893e+00
1.624818747222222157e+02,1.997413749333333266e+00,5.891453023466666217e+00
1.634896349999999927e+02,2.004733139999999914e+00,1.825576752885000076e+01
1.639452594444444458e+02,3.003324411257238147e+00,2.024383496050469233e+01
1.644906430555555517e+02,4.000590602666666662e+00,2.144066262193333472e+01
1.651797680555555417e+02,5.000156677123264615e+00,2.236496187821625981e+01
1.661706527777777751e+02,6.000263357499999728e+00,2.328820744415000021e+01
