time,L,MLT,number density,bmag,wavemags
4.695227777777777889e-01,6.165626170833332864e+00,2.107974956153333324e+01,7.658357253519693586e+01,1.328666383056641962e+02,3.391921004044393074e-04
4.725516666666666477e-01,6.167579804166666513e+00,2.108227129326666827e+01,7.658446837615966274e+01,1.330381953320300852e+02,1.174749895519022541e-03
4.755805555555555619e-01,6.169533437500000161e+00,2.108479302499999974e+01,8.431365484873454363e+01,1.324706752207022760e+02,8.495153219515627543e-04
4.786097222222222003e-01,6.171487250000000202e+00,2.108731498799999926e+01,8.431300354003906250e+01,1.327591374726565618e+02,5.980406534534605991e-04
4.816388888888888942e-01,6.173434349999999959e+00,2.108983578750000021e+01,8.431300354003906250e+01,1.325212410498048143e+02,7.755780384874507143e-04
4.846680555555555325e-01,6.175360899999999376e+00,2.109235302500000131e+01,8.600751266479498724e+01,1.326611920029310738e+02,6.434695065514487106e-04
4.876975000000000060e-01,6.177287626666666753e+00,2.109487049333333175e+01,8.431438428115845340e+01,1.323586833056661760e+02,1.023538364602233439e-03
4.907269444444444240e-01,6.179214353333333243e+00,2.109738796166666575e+01,8.431500244140625000e+01,1.322535424472657439e+02,1.050684795624742818e-03
4.937563888888888974e-01,6.181141079999999732e+00,2.109990542999999974e+01,8.431500244140625000e+01,1.322080820878906025e+02,4.945800658035449026e-04
4.967861111111110950e-01,6.183067983333333295e+00,2.110242312916666663e+01,8.431507406870524335e+01,1.321162577685545614e+02,1.736553544360513969e-03
4.998152777777777889e-01,6.184975586666666914e+00,2.110493671266666382e+01,8.431511321385701763e+01,1.321842538232417041e+02,9.274158492330017477e-04
5.028449999999999864e-01,6.186877040333333078e+00,2.110744950368333406e+01,8.431458866882324799e+01,1.320203452304685641e+02,5.805378638787503289e-04
5.058747222222221840e-01,6.188778494000000130e+00,2.110996229470000074e+01,8.431495280202230447e+01,1.321366107880895697e+02,7.288185957500142084e-04
5.089041666666667130e-01,6.190679773333333635e+00,2.111247485533333190e+01,8.431500244140625000e+01,1.321346520087954275e+02,2.422301541274296131e-04
5.119336111111111309e-01,6.192581052666667141e+00,2.111498741596666662e+01,8.431516252009073753e+01,1.317357032041014122e+02,7.864672536600378567e-04
