time_hrs,B_in_out,B_squash,B_left_right
7.050000,-0.03653,-0.03026,0.02610
7.066667,0.02248,0.07058,0.00447
7.083333,0.04068,0.07277,-0.01407
7.100000,0.03706,0.00897,-0.02349
7.116667,0.01418,-0.04519,0.00638
7.133333,-0.03453,-0.10022,0.02263
7.150000,-0.01817,-0.06350,0.01663
7.166667,0.02542,0.05588,0.01587
7.183333,-0.00153,0.09501,-0.01726
7.200000,-0.04990,0.06450,-0.04054
7.216667,-0.04272,-0.00674,-0.04450
7.233333,0.01403,-0.05541,-0.01707
7.250000,0.04912,-0.03215,0.05181
7.266667,0.04728,-0.02733,0.06399
7.283333,0.04080,-0.01698,0.02229
7.300000,0.00135,0.01733,-0.00881
7.316667,-0.05149,0.01254,-0.02014
7.333333,-0.06183,0.01337,-0.03313
7.350000,-0.03988,0.03666,-0.04509
7.366667,-0.00601,-0.00324,-0.01372
7.383333,0.02584,-0.03490,0.02890
7.400000,0.05574,0.01896,0.03981
7.416667,0.06378,0.01859,0.02640
7.433333,0.02680,-0.02285,0.00665
7.450000,-0.01784,-0.00771,-0.01480
7.466667,-0.06185,0.00263,-0.03867
7.483333,-0.08715,-0.02056,-0.02486
7.500000,-0.03209,-0.03369,0.00833
7.516667,0.04899,0.00700,0.02126
7.533333,0.06687,0.04605,0.02789
7.550000,0.04660,0.03510,0.00697
7.566667,0.01162,0.02387,-0.02138
7.583333,-0.03571,-0.00669,-0.01699
7.600000,-0.04167,-0.05651,-0.00572
7.616667,-0.01197,-0.04887,0.00921
7.633333,-0.00436,0.00398,0.02314
7.650000,-0.00081,0.03296,0.01042
7.666667,0.01945,0.03436,-0.01953
7.683333,0.01700,0.01097,-0.03039
7.700000,-0.00541,-0.01788,-0.00674
7.716667,0.00645,-0.00685,0.00962
7.733333,0.01301,-0.00176,0.01723
7.750000,-0.02401,-0.01147,0.03206
7.766667,-0.01506,-0.01362,0.01050
7.783333,0.00673,-0.01560,-0.01485
7.800000,-0.01095,0.03098,-0.01763
7.816667,0.01958,0.05031,-0.03082
7.833333,0.02189,-0.00492,-0.01309
7.850000,-0.01705,-0.01939,0.01239
7.866667,0.01660,-0.02005,0.00669
7.883333,0.00145,-0.04925,0.02557
7.900000,-0.04916,-0.02042,0.02671
7.916667,-0.01225,0.05689,-0.01099
7.933333,-0.00214,0.06893,-0.00566
7.950000,0.00318,0.00752,-0.00217
7.966667,0.07266,-0.03561,-0.03189
7.983333,0.06562,-0.03648,-0.01458
8.000000,-0.02987,-0.02833,0.01815
8.016667,-0.08440,-0.01251,0.01462
8.033333,-0.06566,0.02483,0.01241
8.050000,-0.00503,0.03480,0.00173
8.066667,0.05086,0.00927,-0.02173
8.083333,0.05315,0.00722,-0.01722
8.100000,0.02516,-0.00484,-0.00118
8.116667,0.00420,-0.02170,0.01502
8.133333,-0.01197,-0.00271,0.03839
8.150000,-0.01661,0.00720,0.02254
8.166667,-0.03540,-0.00043,-0.02074
8.183333,-0.04812,-0.01390,-0.02905
8.200000,-0.00610,-0.02395,-0.02759
8.216667,0.03262,-0.01007,-0.02520
8.233333,0.04608,0.02462,0.01100
8.250000,0.04765,0.05064,0.03390
8.266667,0.02026,0.03315,0.02595
8.283333,-0.01277,-0.00566,0.01632
8.300000,-0.05277,-0.04129,-0.00431
8.316667,-0.06976,-0.06117,-0.02014
8.333333,-0.02050,-0.03955,-0.02517
8.350000,0.02087,0.01688,-0.01368
8.366667,0.03571,0.07349,0.01291
8.383333,0.05193,0.06462,0.01501
8.400000,0.01655,-0.00035,0.01158
8.416667,-0.02218,-0.04208,0.00528
8.433333,-0.01162,-0.04574,-0.01049
8.450000,-0.00944,-0.02427,-0.01464
8.466667,-0.00402,-0.00608,-0.01283
8.483333,0.00221,0.01228,0.00324
8.500000,-0.00492,0.03625,0.00959
8.516667,-0.01163,0.02542,0.01524
8.533333,-0.01834,0.00012,0.02569
8.550000,0.01787,-0.00780,-0.00422
8.566667,0.01928,-0.00503,-0.02685
8.583333,-0.01701,-0.01866,-0.02667
8.600000,0.02646,-0.01923,-0.01209
8.616667,0.04464,0.00493,0.01851
8.633333,-0.00354,0.00303,0.02372
8.650000,-0.07099,0.02166,0.01964
8.666667,-0.07364,0.01410,-0.00898
8.683333,0.04495,-0.00412,-0.01700
8.700000,0.06046,0.00566,0.01819
8.716667,0.04424,-0.04356,-0.00639
8.733333,0.02614,0.00601,-0.01629
8.750000,-0.14878,0.02545,-0.01634
8.766667,-0.06345,-0.04872,-0.02286
8.783333,0.16950,0.03538,0.04006
8.800000,0.03976,0.02570,0.00588
8.816667,-0.10504,-0.00986,-0.02158
8.833333,-0.00498,0.02124,0.06085
8.850000,0.04754,-0.07503,0.02139
8.866667,-0.02600,0.00468,-0.03218
8.883333,0.00893,0.09735,-0.03230
8.900000,0.04997,-0.03310,-0.05398
8.916667,-0.05493,-0.06328,-0.01661
8.933333,-0.03207,0.00355,0.04168
8.950000,0.02559,0.03265,0.07252
8.966667,-0.03600,0.01982,0.02362
8.983333,-0.01562,-0.00510,-0.04510
9.000000,0.05496,-0.00779,-0.02124
9.016667,0.04520,0.00045,-0.01110
9.033333,0.02249,-0.02360,-0.02330
9.050000,0.03617,-0.04476,0.00708
9.066667,-0.10334,0.05565,0.03647
9.083333,-0.11318,0.06975,0.01257
9.100000,0.14353,-0.05697,-0.00855
9.116667,0.00253,-0.03157,0.01570
9.133333,-0.13339,0.03743,-0.02128
9.150000,0.11101,0.00325,-0.03609
9.166667,0.04524,-0.02040,0.01599
9.183333,-0.06801,-0.00247,0.00126
9.200000,0.00888,0.01221,0.00672
9.216667,0.02032,-0.02788,0.01993
9.233333,0.07235,-0.04276,-0.00954
9.250000,-0.07217,0.06143,0.02302
9.266667,-0.12547,0.08223,-0.00011
9.283333,0.13071,-0.06282,-0.05758
9.300000,0.01262,-0.06276,-0.00215
9.316667,-0.10917,0.06335,0.01954
9.333333,0.08497,0.03756,0.01581
9.350000,0.06457,-0.06240,0.01898
9.366667,-0.01170,-0.06799,-0.02110
9.383333,-0.10257,0.05310,0.01053
9.400000,-0.08602,0.09014,0.00853
9.416667,0.14586,-0.04654,-0.04520
9.433333,0.07903,-0.05633,-0.00498
9.450000,-0.05976,0.01619,0.03388
9.466667,-0.03547,0.01072,0.02570
9.483333,-0.03177,0.01806,-0.00256
9.500000,0.01309,0.00063,-0.02420
9.516667,0.00603,0.00347,-0.02220
9.533333,-0.00715,0.01011,-0.00932
9.550000,-0.00536,-0.03207,0.00814
9.566667,0.00734,0.00166,0.00884
9.583333,0.05572,-0.00005,0.02326
9.600000,-0.00212,-0.03452,0.00887
9.616667,-0.02212,0.03477,-0.00416
9.633333,0.00308,0.03862,0.02145
9.650000,-0.01403,-0.02085,-0.02381
9.666667,0.00227,-0.00972,-0.04517
9.683333,-0.02715,0.00655,-0.01113
9.700000,-0.02810,-0.00384,0.00870
9.716667,0.01530,-0.00660,0.05525
9.733333,0.02265,-0.00348,0.03498
9.750000,0.03271,-0.01317,-0.02878
9.766667,0.00446,-0.00354,-0.03693
9.783333,0.00270,0.02875,-0.03213
9.800000,0.01667,0.01378,-0.00287
9.816667,-0.03099,-0.01121,0.02825
9.833333,-0.03685,-0.00108,0.03115
9.850000,-0.00695,-0.00421,0.01990
9.866667,-0.00200,-0.00889,-0.00614
9.883333,-0.00206,-0.00345,-0.00491
9.900000,0.02556,0.00777,-0.00338
9.916667,0.04511,0.00998,-0.03523
9.933333,-0.00792,-0.01781,-0.03077
9.950000,-0.03478,-0.00417,0.00848
9.966667,-0.00081,0.00689,0.01753
9.983333,0.01487,-0.00776,0.01698
10.000000,0.02553,0.02331,0.02122
10.016667,0.00951,0.00857,0.00201
10.033333,-0.02796,-0.00252,0.00203
10.050000,-0.04788,0.01314,0.01156
10.066667,-0.06013,-0.02277,-0.00801
10.083333,-0.02179,-0.00592,-0.02349
10.100000,0.05402,-0.00516,-0.03927
10.116667,0.10359,-0.02685,-0.01799
10.133333,0.10173,-0.00070,0.01901
10.150000,0.03603,-0.02731,0.02163
10.166667,-0.05833,0.02451,0.03977
10.183333,-0.13001,0.09165,0.00833
10.200000,-0.14520,-0.00377,-0.02509
10.216667,-0.07802,-0.00968,0.00716
10.233333,0.05176,0.03910,-0.01095
10.250000,0.12828,-0.03975,-0.00407
10.266667,0.14625,-0.07479,0.02424
10.283333,0.14651,-0.06179,-0.02180
10.300000,0.00154,-0.02832,-0.03801
10.316667,-0.16659,0.06283,-0.01746
10.333333,-0.16945,0.06604,0.02328
10.350000,-0.08098,0.04245,0.05831
10.366667,0.04808,0.07141,0.00898
10.383333,0.07296,-0.00406,-0.04296
10.400000,0.02938,-0.08987,-0.02960
10.416667,0.06221,-0.08482,0.00381
10.433333,0.01530,-0.06663,0.04284
10.450000,-0.01290,0.06752,0.09447
10.466667,0.00991,0.12686,0.01191
10.483333,-0.08299,-0.05620,-0.16647
10.500000,-0.02820,-0.03868,-0.10941
10.516667,0.11829,0.06420,0.03637
10.533333,0.05275,-0.05639,0.08158
10.550000,-0.04250,-0.02806,0.14556
10.566667,-0.10697,0.03784,0.05434
10.583333,-0.08873,0.01153,-0.09551
10.600000,0.05300,0.07025,-0.07771
10.616667,-0.01473,0.00890,-0.07614
10.633333,-0.02725,-0.02798,-0.05902
10.650000,0.16091,-0.07252,0.05334
10.666667,0.11314,-0.16555,0.14827
10.683333,0.04058,0.08525,0.12601
10.700000,-0.10564,0.20785,-0.08166
10.716667,-0.20884,-0.02552,-0.16429
10.733333,0.03281,-0.08910,0.00792
10.750000,0.00350,-0.02183,0.01998
